Requirement ID,Priority,Area,Approved Requirement (Foundation Plan V1.0),Acceptance Test (Foundation Plan V1.0),Status,Existing Implementation,Exact Source Files,Existing Tests,Evidence Found,Gap,Risk,Recommended Next Action,Suggested Owner,Implementation Order,Dependencies
FND-GOV-01,P0,Founder Office,"Decision Register capturing decision, rationale, options, owner, due date, evidence and approval.","Create/edit/close; every strategic decision has ID and owner.",Missing,None. No entity, table, repository, endpoint or page exists.,n/a,None,"Full repository search across backend/app/domain/entities, backend/migrations/versions and frontend/src/features returned no decision-register construct. The only 'Audit' artefact is frontend/src/features/placeholders/pages/AuditPage.tsx, a Coming Soon placeholder.","Entire requirement: schema, API, UI, lifecycle.",Founder Office decisions remain untraceable; Non-Negotiable Principle 3 (traceability to source or named authority) cannot be met.,"Design Decision/Approval/Commitment register schema on top of the audit spine delivered in Sprint 1; do not build before FND-SEC-03.",Operating Lead + Technical,7,FND-SEC-01;FND-SEC-03
FND-GOV-02,P0,Founder Office,"Delegated Authority Matrix for commercial, technical, financial, data and external communication approvals.",No controlled approval can bypass named authority.,Missing,"A five-tier client-side role model exists (Viewer/Editor/Approver/Admin/Owner) but it is presentation-only and is never evaluated by the server.","frontend/src/features/rbac/roles.ts:11-37; frontend/src/app/router/guards/RoleGuard.tsx:12-15; frontend/src/features/rbac/useHasMinTier.ts","frontend/src/shell/CommandRail/__tests__/CommandRail.rbac.test.tsx (UI visibility only)","backend/app/api/v1/auth.py:31 is the ONLY place users.role is read, and it merely echoes the value. Grep for current_user.role across backend/app returns no authorization use. roles.ts:5 itself states 'Server re-validates everything; this is a UX layer only' — the server does not.","No server-side authority model, no approval routing, no named-authority binding.",Critical. Any authenticated user of an organization currently has the full permission set of an Owner against every backend endpoint. A client can call the API directly and bypass RoleGuard entirely.,"Implement server-side role enforcement as part of Sprint 1 (FND-SEC-01), then model the Delegated Authority Matrix on top of it.",Technical + Founder,2,FND-SEC-01
FND-GOV-03,P0,Founder Office,"Weekly CEO brief covering priorities, cash, commitments, risks, decisions and overdue actions.",Generated from current registers; founder can trace every figure.,Missing,None. The dashboard renders seeded mock data only.,"frontend/src/features/dashboard/mockDashboardData.ts; frontend/src/features/dashboard/pages/DashboardPage.tsx:10-22",frontend/src/features/dashboard/pages/__tests__/DashboardPage.test.tsx (asserts mock rendering only),DashboardPage imports every figure from mockDashboardData.ts and makes no API call. There are no registers for a brief to be generated from.,"Registers, aggregation, bilingual brief generation, traceability of each figure.","A convincing executive screen exists that is backed by nothing — exactly Risk 'Interface mistaken for working capability' (Plan §13, H/High).","Do not build until FND-GOV-01/FND-PMO-01/FND-PMO-03 registers exist. Meanwhile label the dashboard explicitly as demo data.",Operating Lead,9,FND-GOV-01;FND-PMO-01;FND-PMO-03
FND-PMO-01,P0,PMO,"Enterprise Master Portfolio across Aramco, renewable, product and government-support portfolios.","All active initiatives have owner, stage, health and next gate.",Missing,"The engagements table is the nearest analogue but carries only id, organization_id, title, status, created_at — no portfolio, owner, stage, health or gate.","backend/migrations/versions/12c7b2051fc6_create_organizations_users_engagements.py:49-63; backend/app/infrastructure/db/models/engagement.py; backend/app/api/v1/engagements.py","backend/tests/services/test_engagement_service.py; backend/tests/api/test_engagements.py (CRUD + tenant isolation)","Engagement CRUD and tenant isolation are genuinely implemented and tested, but the entity carries none of the portfolio fields the requirement names.","Portfolio hierarchy, owner, stage, health, next gate.",Portfolio governance cannot be demonstrated; no basis for the Aramco proof case workspace.,"Extend the Engagement aggregate into a Project/Portfolio aggregate, or introduce a separate Portfolio entity. Requires a management decision on the domain model.",Operating Lead + Technical,8,FND-SEC-01;FND-SEC-03
FND-PMO-02,P0,PMO,"Six-gate lifecycle with entry/exit criteria, mandatory evidence and gate decision.",System blocks false gate completion without mandatory evidence.,Missing,"None. engagements.status is a free string with a CHECK-style default only; there is no gate model and no evidence-blocking rule.",backend/migrations/versions/12c7b2051fc6_create_organizations_users_engagements.py:54-59,None,No gate entity or state machine exists anywhere in backend/app.,"Gate definitions, entry/exit criteria, mandatory-evidence binding, blocking rule, gate decision record.",The Plan's own G0-G4 gates cannot be operated inside the system they govern.,Build after registers and audit spine exist.,Operating Lead,10,FND-PMO-01;FND-SEC-03
FND-PMO-03,P0,PMO,"Integrated schedule, risk, issue, action, decision and change controls.","Unique IDs, ownership, due dates, status history and escalation.",Missing,None.,n/a,None,No schedule/risk/issue/action/change entity exists in backend/app/domain/entities (10 entities present; all document/analysis-related).,Entire requirement.,No project control capability; the Aramco proof case has no workspace to run in.,Build as one register framework (shared base table + typed registers) after the audit spine.,Operating Lead + Technical,8,FND-SEC-03
FND-KC-01,P0,Knowledge,Controlled OneDrive folder mapping by entity/portfolio/project/document type.,A new approved file is assigned to one controlled location.,Contradicted or Unsafe,"No OneDrive integration exists. Originals are written to Supabase Storage under a deterministic but different hierarchy: organizations/{org}/engagements/{eng}/documents/{id}.pdf — no portfolio dimension and no document-type dimension.","backend/app/services/document_upload.py:72-73 (_build_object_key); backend/app/infrastructure/storage/supabase_document_storage.py",backend/tests/services/test_document_upload_service.py; backend/tests/infrastructure/storage/test_supabase_document_storage.py,"Grep for 'onedrive'/'graph'/'sharepoint' across the repository returns zero hits. docker-compose.yml:1-3 confirms the only data plane is external Supabase.","OneDrive as the controlled source repository; portfolio and document-type taxonomy; approved-file assignment rule. Also unresolved: data residency of the Supabase project.","HIGH. The approved Non-Negotiable Principle (Plan §1.2) is 'OneDrive stores controlled originals; the platform stores structured metadata'. The implementation instead makes a third-party cloud object store the system of record for originals. This is an architectural divergence from an approved baseline, not merely missing work, and it has legal/residency implications for any Aramco data.",Escalate as a Decision Register item before any further Knowledge Center work: confirm or formally amend the OneDrive-as-source-of-record principle and record the data-residency position of the Supabase project.,Founder + Technical + Legal,1 (decision),Management decision
FND-KC-02,P0,Knowledge,"Upload/sync, checksums, duplicates, versions and preservation of originals.",Duplicate and new-version tests pass without losing originals.,Partial,"Upload and original preservation are implemented: unique storage_path per document (UUID-keyed, never overwritten), a compensating storage delete if the DB insert fails, and no delete path exposed. Checksums, duplicate detection and versioning are absent.","backend/app/services/document_upload.py:90-153; backend/migrations/versions/eeb31636c877_create_documents_table.py:30-41 (UniqueConstraint on storage_path)","backend/tests/services/test_document_upload_service.py; backend/tests/api/test_documents.py; backend/tests/infrastructure/repositories/test_document_repository.py (integration, NOT executed in this audit)","documents table columns are id, filename, storage_path, processing_status, engagement_id, created_at, updated_at — there is no file_hash/checksum, no version, no supersedes_id, no is_current. The only sha256 in the codebase hashes chunk TEXT for embedding identity (backend/app/services/embedding_generation.py:54), not file bytes.","SHA-256 of file bytes; duplicate detection; document version chain; supersession.","Two uploads of the same file create two unrelated documents and two independent embedding sets — silent duplication of evidence and double-counting in any future KPI. No way to prove an original was not altered.","Add documents.content_sha256 (indexed) + duplicate-detection policy + version/supersedes chain. Small, self-contained, high value.",Technical + Knowledge Lead,4,FND-SEC-03
FND-KC-03,P0,Knowledge,Arabic/English extraction for PDF/DOCX/XLSX/CSV and OCR for scans/images.,Benchmark meets agreed field and text accuracy.,Partial,"The extractor supports pdf, docx, xlsx, xls and txt via a strategy registry, but the upload endpoint accepts PDF ONLY, so docx/xlsx are unreachable end-to-end. CSV is not registered. There is no OCR of any kind.","backend/app/infrastructure/documents/text_extractor.py:63-112 (_STRATEGIES); backend/app/services/document_upload.py:135-147 (_validate_pdf); backend/requirements.txt (pymupdf, python-docx, openpyxl, chardet — no OCR library)","backend/tests/infrastructure/documents/test_text_extractor.py (pdf/docx/xlsx/txt unit tests, executed and passing)","_validate_pdf enforces .pdf extension + application/pdf content type + %PDF- magic bytes, so only PDFs enter the pipeline. No tesseract/Pillow/vision dependency exists. No Arabic-specific extraction test exists in the suite.","CSV support; end-to-end DOCX/XLSX path; Arabic and English OCR for scans and images; the accuracy benchmark itself has never been defined or run.","Scanned Aramco documents — the common real-world case — cannot be ingested at all. The requirement's acceptance test (a measured benchmark) has zero evidence behind it.","Define the bilingual extraction benchmark corpus and target first, then decide OCR approach (this is also a data-residency decision if a cloud OCR service is used).",Knowledge Lead + Technical,5,FND-KC-01 decision
FND-KC-04,P0,Knowledge,"Document, page and passage-level citations plus evidence status.",Every approved AI output resolves to exact source passage.,Partial,"Document-level and passage-level citation are genuinely implemented and strong: analysis_source_references stores chunk_id, document_id, chunk_index, char_start, char_end, quoted_snippet, citation_order and relevance_score, with server-controlled SOURCE_n to citation-id remapping so the model never sees or emits a real UUID. Page-level citation is impossible: page numbers are discarded at extraction. Evidence status does not exist.","backend/migrations/versions/da0298a9c722_create_analysis_runs_and_source_.py:149-215; backend/app/services/analysis/rag_analysis.py:69-96,378-391; backend/app/infrastructure/documents/text_extractor.py:69","backend/tests/services/test_rag_analysis_service.py; backend/tests/api/test_analysis.py; backend/tests/api/test_analysis_integration.py (integration, NOT executed)","text_extractor.py:69 joins every page with '\n' and returns a single string — page identity is destroyed before chunking, so document_chunks has no page_number column and none can be derived. Passage offsets survive intact via chunker char_start/char_end.","Page-number capture and storage; evidence status (pending/verified/rejected/superseded/restricted).","A citation can be resolved to a character range but NOT to a page — a reviewer cannot open the source PDF at the cited page. This directly weakens the Plan's central traceability claim.","Preserve page boundaries in the extractor and add document_chunks.page_start/page_end. Contained change with high proof value.",Technical + Knowledge Lead,6,none
